corpus	type token ratio	words	unique words	sentences	paragraphs	av word len	av non func word len	av words per sent	av words per para	the	be	to	of	and	a	in	that	have	I	it	for	not	on	with	he	as	you	do	at	this	but	his	by	from	they	we	say	her	she	or	an	will	my	one	all	would	there	their	what	so	up	out	if	about	who	get	which	go	me	when	make	can	like	time	no	just	him	know	take	people	into	year	your	good	some	could	them	see	other	than	then	now	look	only	come	its	over	think	also	back	after	use	two	how	our	work	first	well	way	even	new	want	because	any	these	give	day	most	us	.	?	!	,	;	:	-	--	“	”	’	'	''	non func words	tags	bigram	trigram
aurthur_conan_doyle.a_study_in_scarlet.0000	0.287805	6150.000000	1770.000000	311.000000	120.000000	4.357561	5.315734	23.234727	60.591667	42.764227642276424	5.691056910569106	29.43089430894309	26.666666666666668	30.40650406504065	28.130081300813007	18.048780487804876	13.983739837398375	8.130081300813009	30.24390243902439	12.032520325203253	7.642276422764228	4.5528455284552845	4.878048780487805	7.967479674796747	17.88617886178862	10.731707317073171	11.544715447154472	1.3008130081300813	7.967479674796747	3.902439024390244	4.065040650406504	13.821138211382113	6.016260162601626	3.5772357723577235	2.2764227642276422	4.227642276422764	0.6504065040650406	0.0	0.0	4.5528455284552845	4.878048780487805	0.6504065040650406	12.520325203252032	3.089430894308943	3.5772357723577235	3.7398373983739837	2.926829268292683	0.975609756097561	3.4146341463414633	3.902439024390244	2.2764227642276422	1.7886178861788617	2.113821138211382	1.951219512195122	2.4390243902439024	1.1382113821138211	6.829268292682927	0.975609756097561	8.455284552845528	3.252032520325203	0.4878048780487805	1.4634146341463414	0.975609756097561	1.1382113821138211	3.902439024390244	0.6504065040650406	6.666666666666667	1.7886178861788617	0.8130081300813008	0.6504065040650406	1.951219512195122	0.3252032520325203	1.3008130081300813	0.975609756097561	2.7642276422764227	2.2764227642276422	1.6260162601626016	1.7886178861788617	1.951219512195122	0.975609756097561	1.3008130081300813	2.2764227642276422	0.3252032520325203	0.8130081300813008	1.1382113821138211	0.3252032520325203	1.6260162601626016	1.1382113821138211	0.0	0.3252032520325203	1.3008130081300813	0.4878048780487805	0.4878048780487805	1.951219512195122	1.6260162601626016	0.8130081300813008	0.6504065040650406	1.6260162601626016	1.4634146341463414	0.3252032520325203	0.975609756097561	0.16260162601626016	0.6504065040650406	1.7886178861788617	1.951219512195122	0.4878048780487805	0.975609756097561	0.6504065040650406	1.1382113821138211	41.516745087185164	4.151674508718516	2.075837254359258	53.14143371159701	1.5222806531967894	0.2767783005812344	0.0	3.4597287572654305	18.40575698865209	18.267367838361473	6.089122612787158	0.0	0.0	i to is was had have which be are not said man what so when	NN IN DT JJ PRP VBD RB NNS CC VB PRP$ TO VBN VBP VBZ	of-the in-the i-have to-the to-be he-had at-the that-i it-is sherlock-holmes i-had is-a to-me and-i i-was	which-he-had as-he-spoke a-man-s i-have-a that-i-had appeared-to-be the-chemical-laboratory you-don-t he-is-a is-a-little a-lot-of me-and-i i-have-to he-had-some a-study-in
aurthur_conan_doyle.a_study_in_scarlet.0001	0.264620	6156.000000	1629.000000	312.000000	148.000000	4.217511	5.088196	23.634615	50.209459	54.743339831059124	5.685510071474983	22.254710851202077	27.777777777777775	27.29044834307992	28.102664067576345	14.782326185834957	16.244314489928524	7.959714100064977	23.716699155295647	16.244314489928524	5.198180636777128	4.223521767381416	5.685510071474983	8.447043534762832	16.40675763482781	7.147498375568551	13.32033788174139	1.299545159194282	8.771929824561402	5.847953216374268	3.7361923326835607	12.020792722547109	3.898635477582846	3.7361923326835607	2.4366471734892787	5.035737491877843	0.649772579597141	0.3248862897985705	0.16244314489928524	2.111760883690708	3.248862897985705	2.111760883690708	7.6348278102664064	5.035737491877843	5.685510071474983	2.2742040285899936	8.609486679662117	0.8122157244964262	3.0864197530864197	2.923976608187134	3.41130604288499	2.111760883690708	3.248862897985705	2.111760883690708	1.7868745938921378	0.16244314489928524	7.797270955165692	1.1371020142949968	4.8732943469785575	2.4366471734892787	0.4873294346978557	2.2742040285899936	0.8122157244964262	1.461988304093567	5.847953216374268	0.9746588693957114	3.5737491877842755	0.9746588693957114	0.649772579597141	0.0	2.4366471734892787	0.16244314489928524	2.111760883690708	0.16244314489928524	1.949317738791423	2.111760883690708	1.461988304093567	1.949317738791423	1.299545159194282	0.8122157244964262	1.461988304093567	1.7868745938921378	1.299545159194282	0.4873294346978557	1.949317738791423	0.8122157244964262	1.7868745938921378	0.4873294346978557	0.0	0.9746588693957114	0.8122157244964262	0.3248862897985705	3.0864197530864197	2.2742040285899936	1.6244314489928524	0.16244314489928524	0.4873294346978557	1.6244314489928524	1.949317738791423	0.3248862897985705	0.649772579597141	0.16244314489928524	0.16244314489928524	1.7868745938921378	1.299545159194282	0.649772579597141	0.0	0.8122157244964262	0.9746588693957114	40.2766476810415	6.373745592622729	1.6273393002441008	57.36371033360456	2.3053973420124763	0.13561160835367508	0.0	4.203959858963927	22.104692161649037	21.969080553295363	8.814754542988881	0.0	0.0	i to was had there have is which said be one s not man were	NN IN DT VBD JJ PRP RB VB NNS CC VBN PRP$ TO VBZ VBP	of-the to-the in-the i-have he-said it-was upon-the at-the was-a on-the that-i in-a of-a sherlock-holmes to-be	there-is-no as-he-spoke the-brixton-road pointing-to-a that-i-can mr.-sherlock-holmes into-the-room the-room-and that-he-was way-in-which that-i-am during-the-night 3-lauriston-gardens you-will-find they-are-both
aurthur_conan_doyle.a_study_in_scarlet.0002	0.261658	6069.000000	1588.000000	336.000000	157.000000	4.148789	4.921116	21.910714	47.318471	56.1871807546548	7.2499588070522325	20.926017465809853	24.715768660405338	27.022573735376504	18.948755972977427	16.147635524798154	16.971494480145	6.590871642774757	26.03394298896029	14.664689405173833	6.426099851705388	4.448838358872961	4.119294776734223	5.602240896358543	19.607843137254903	6.09655626956665	12.852199703410776	3.4602076124567476	8.073817762399077	6.09655626956665	3.6249794035261163	11.534025374855824	2.9658922392486406	1.6477179106936892	2.636348657109903	4.943153732081068	0.4943153732081067	6.590871642774757	4.61361014994233	1.9772614928324268	3.9545229856648536	4.284066567803592	8.403361344537815	2.8011204481792715	4.284066567803592	2.9658922392486406	5.107925523150437	1.3181743285549514	3.7897511945954854	3.7897511945954854	2.142033283901796	2.142033283901796	2.471576866040534	1.8124897017630581	1.6477179106936892	1.1534025374855825	4.284066567803592	0.8238589553468446	4.119294776734223	3.1306640303180093	0.16477179106936893	1.3181743285549514	0.6590871642774757	1.3181743285549514	4.61361014994233	0.8238589553468446	5.602240896358543	1.8124897017630581	0.4943153732081067	0.32954358213873786	2.142033283901796	0.0	3.7897511945954854	0.8238589553468446	2.471576866040534	1.4829461196243203	1.8124897017630581	0.9886307464162134	0.8238589553468446	1.4829461196243203	2.306805074971165	2.142033283901796	0.8238589553468446	0.16477179106936893	1.9772614928324268	0.4943153732081067	1.4829461196243203	0.6590871642774757	0.0	1.3181743285549514	2.471576866040534	0.4943153732081067	0.9886307464162134	1.6477179106936892	2.306805074971165	0.32954358213873786	0.4943153732081067	1.3181743285549514	1.9772614928324268	0.16477179106936893	0.32954358213873786	0.32954358213873786	0.16477179106936893	1.1534025374855825	1.3181743285549514	0.0	0.9886307464162134	0.4943153732081067	1.3181743285549514	43.73811464276012	6.927465362673186	1.7658245042108123	53.92556370551481	2.580820429231187	0.54333061668025	0.0	4.074979625101874	24.857375713121435	20.646563433849497	16.571583808747622	0.0	0.0	i to was is had be ‘ have s said there not holmes which what	NN IN DT PRP VBD JJ RB VB NNS CC PRP$ VBN VBP TO VBZ	of-the in-the to-be to-the it-was upon-the he-was at-the that-he he-said sherlock-holmes it-is i-have he-had there-was	there-was-a there-is-no that-he-had i-heard-the one-of-the i-have-no he-will-be in-a-few at-the-bell the-brixton-road i-asked-the said-sherlock-holmes there-was-no i-had-no i-don-t
aurthur_conan_doyle.a_study_in_scarlet.0003	0.274969	6528.000000	1795.000000	322.000000	123.000000	4.302543	5.159580	24.074534	63.398374	64.03186274509804	4.595588235294118	24.969362745098042	30.177696078431374	34.16053921568627	18.84191176470588	16.08455882352941	13.939950980392158	8.118872549019608	16.08455882352941	15.318627450980392	5.667892156862745	3.063725490196078	5.821078431372549	7.659313725490196	13.939950980392158	6.740196078431373	10.876225490196077	2.1446078431372553	5.667892156862745	6.280637254901961	3.3700980392156863	13.174019607843137	2.7573529411764706	5.208333333333333	3.3700980392156863	6.4338235294117645	1.838235294117647	2.297794117647059	1.838235294117647	2.1446078431372553	2.450980392156863	1.9914215686274508	3.676470588235294	2.6041666666666665	3.5232843137254903	1.6850490196078431	8.118872549019608	1.3786764705882353	2.450980392156863	4.136029411764706	4.136029411764706	3.063725490196078	1.3786764705882353	2.1446078431372553	2.6041666666666665	0.15318627450980393	7.352941176470588	0.7659313725490196	3.9828431372549016	2.450980392156863	0.9191176470588235	2.1446078431372553	0.9191176470588235	1.9914215686274508	4.442401960784314	1.0723039215686276	5.361519607843137	1.2254901960784315	0.15318627450980393	0.15318627450980393	0.9191176470588235	0.15318627450980393	1.531862745098039	1.0723039215686276	2.6041666666666665	1.2254901960784315	3.3700980392156863	1.531862745098039	1.531862745098039	1.2254901960784315	2.7573529411764706	2.6041666666666665	0.15318627450980393	0.30637254901960786	1.2254901960784315	1.0723039215686276	1.9914215686274508	0.45955882352941174	0.15318627450980393	0.9191176470588235	0.9191176470588235	0.0	2.450980392156863	1.0723039215686276	0.7659313725490196	0.45955882352941174	0.6127450980392157	1.3786764705882353	0.6127450980392157	0.30637254901960786	0.30637254901960786	0.15318627450980393	0.30637254901960786	1.3786764705882353	1.3786764705882353	0.9191176470588235	0.0	1.0723039215686276	1.531862745098039	40.247678018575854	3.353973168214654	2.1929824561403506	61.01651186790506	2.0639834881320946	0.25799793601651183	0.0	1.805985552115583	18.317853457172344	17.285861713106296	11.351909184726523	0.0	0.0	to i was had there have which is said be man holmes s are were	NN IN DT JJ VBD PRP RB NNS CC VB VBN TO PRP$ VBP VBG	of-the in-the and-the on-the to-the there-was to-be i-have upon-the the-room the-man it-was from-the that-i he-had	there-was-a the-little-girl the-death-of the-body-of in-the-room up-to-the there-is-no it-ain-t appeared-to-be the-man-was one-of-the the-man-s which-he-had it-was-not it-is-a
aurthur_conan_doyle.a_study_in_scarlet.0004	0.271648	6652.000000	1807.000000	303.000000	117.000000	4.320806	5.269829	25.666667	66.803419	64.6422128683103	5.862898376428142	23.601924233313287	34.425736620565246	34.576067348165964	20.74564040889958	19.693325315694526	11.42513529765484	6.013229104028864	7.666867107636802	8.719182200841853	5.111244738424534	5.261575466025255	4.810583283223091	10.222489476849068	17.889356584485867	6.915213469633193	10.37282020444979	1.6536380036079374	5.562236921226699	6.013229104028864	4.960914010823813	18.340348767288035	3.307276007215875	5.111244738424534	3.6079374624173184	4.960914010823813	0.4509921828021648	12.176788935658449	6.61455201443175	1.9542994588093807	2.1046301864101022	2.705953096812989	2.1046301864101022	3.7582681900180397	4.058929645219483	3.006614552014432	4.058929645219483	3.6079374624173184	1.9542994588093807	2.555622369212267	2.85628382441371	1.503307276007216	1.9542994588093807	1.6536380036079374	4.810583283223091	0.30066145520144316	6.4642212868310285	0.30066145520144316	1.8039687312086592	3.4576067348165966	0.30066145520144316	0.9019843656043296	0.0	1.503307276007216	2.4052916416115453	0.15033072760072158	7.215874924834637	1.0523150932050511	0.6013229104028863	0.15033072760072158	2.254960914010824	0.4509921828021648	2.705953096812989	0.751653638003608	0.9019843656043296	2.705953096812989	3.4576067348165966	1.2026458208057726	1.6536380036079374	1.9542994588093807	1.2026458208057726	1.503307276007216	0.4509921828021648	1.0523150932050511	2.254960914010824	1.0523150932050511	2.254960914010824	0.15033072760072158	0.30066145520144316	0.4509921828021648	0.4509921828021648	0.15033072760072158	2.1046301864101022	1.3529765484064944	1.503307276007216	0.4509921828021648	0.6013229104028863	0.751653638003608	1.2026458208057726	0.9019843656043296	1.0523150932050511	0.15033072760072158	0.0	1.503307276007216	1.2026458208057726	0.4509921828021648	0.6013229104028863	0.6013229104028863	1.6536380036079374	38.06094895203806	2.828854314002829	1.4144271570014144	60.177446316060184	2.185932879002186	0.5143371480005143	0.0	2.3145171660023145	14.53002443101453	14.53002443101453	8.1008100810081	0.0	0.0	to was had i which ferrier have be not were who is said young there	NN IN DT JJ PRP VBD NNS RB CC PRP$ VB VBN TO VBG VBP	of-the in-the to-the john-ferrier at-the and-the he-was to-be of-his with-the from-the with-a to-his he-said upon-the	the-end-of one-of-the the-name-of salt-lake-city he-had-been the-two-castaways to-be-a of-the-young said-the-other we-have-come the-hand-of that-you-should in-the-meantime he-was-a in-the-whole
aurthur_conan_doyle.a_study_in_scarlet.0005	0.254024	7145.000000	1815.000000	336.000000	97.000000	4.309587	5.199059	24.452381	84.938144	63.68089573128062	4.198740377886634	26.03219034289713	25.612316305108465	33.58992302309307	22.813156053184045	12.736179146256124	14.695591322603219	3.7788663400979705	10.356892932120365	10.356892932120365	9.937018894331702	3.358992302309307	5.598320503848845	7.557732680195941	24.63261021693492	7.557732680195941	6.717984604618614	0.979706088173548	6.578026592022393	2.2393282015395384	5.038488453463961	21.553533939818053	3.219034289713086	5.4583624912526245	9.097270818754374	2.5192442267319803	0.5598320503848846	4.058782365290413	0.8397480755773268	2.6592022393282018	1.8194541637508748	0.979706088173548	2.2393282015395384	3.7788663400979705	4.338698390482856	1.1196641007697692	5.598320503848845	3.7788663400979705	2.2393282015395384	3.358992302309307	3.079076277116865	2.7991602519244223	2.099370188943317	1.1196641007697692	1.6794961511546536	0.13995801259622115	9.517144856543037	0.2799160251924423	2.6592022393282018	2.9391182645206437	0.13995801259622115	0.5598320503848846	1.1196641007697692	2.099370188943317	2.9391182645206437	0.2799160251924423	6.15815255423373	0.2799160251924423	0.4198740377886634	0.4198740377886634	3.7788663400979705	0.4198740377886634	0.8397480755773268	0.4198740377886634	2.6592022393282018	2.3792862141357594	5.038488453463961	0.4198740377886634	1.959412176347096	0.8397480755773268	1.8194541637508748	0.8397480755773268	0.4198740377886634	1.2596221133659902	1.1196641007697692	0.5598320503848846	2.6592022393282018	0.2799160251924423	0.13995801259622115	1.5395381385584326	0.979706088173548	0.13995801259622115	2.099370188943317	0.979706088173548	1.6794961511546536	0.5598320503848846	0.2799160251924423	1.3995801259622112	2.099370188943317	0.6997900629811056	0.0	0.4198740377886634	0.0	1.3995801259622112	0.8397480755773268	0.5598320503848846	1.1196641007697692	0.5598320503848846	0.5598320503848846	39.55696202531646	2.5559883154819865	1.0954235637779943	56.84031158714703	1.8257059396299904	0.24342745861733203	0.0	1.0954235637779943	10.223953261927946	9.737098344693282	7.181110029211295	0.0	0.0	to was had i which were there s hope be been one have not jefferson	NN IN DT VBD PRP JJ RB CC NNS PRP$ VBN VB TO VBG VBP	of-the he-had in-the to-the jefferson-hope and-the had-been it-was upon-the he-was from-the of-his they-were there-was that-he	there-was-no that-they-were which-he-had that-he-had that-they-had the-young-hunter which-he-was whom-he-had his-gun-and out-of-the of-the-mountains what-was-to one-of-the said-jefferson-hope that-it-was
aurthur_conan_doyle.a_study_in_scarlet.0006	0.249147	5864.000000	1461.000000	284.000000	86.000000	4.080321	4.801225	24.098592	79.790698	55.422919508867665	6.99181446111869	24.215552523874486	20.804911323328785	26.60300136425648	20.6343792633015	19.440654843110504	18.92905866302865	5.798090040927694	37.005457025920876	15.688949522510233	9.208731241473396	4.092769440654843	4.433833560709414	6.30968622100955	15.688949522510233	8.015006821282402	7.332878581173261	2.557980900409277	8.356070941336972	5.286493860845839	5.115961800818554	11.084583901773533	3.4106412005457027	3.751705320600273	4.092769440654843	2.216916780354707	0.17053206002728513	1.1937244201909958	0.0	2.557980900409277	2.557980900409277	2.216916780354707	13.130968622100955	4.263301500682128	3.2401091405184173	4.945429740791269	6.4802182810368345	2.557980900409277	2.899045020463847	4.263301500682128	2.216916780354707	5.115961800818554	3.069577080491132	1.534788540245566	3.581173260572988	1.0231923601637107	6.99181446111869	0.8526603001364257	7.162346521145976	4.604365620736698	0.8526603001364257	1.1937244201909958	0.8526603001364257	2.0463847203274215	3.2401091405184173	0.8526603001364257	7.332878581173261	0.6821282401091405	0.6821282401091405	1.0231923601637107	1.8758526603001364	0.0	1.364256480218281	0.5115961800818554	2.899045020463847	3.069577080491132	4.604365620736698	1.8758526603001364	2.728512960436562	1.7053206002728514	2.3874488403819916	2.216916780354707	0.5115961800818554	1.534788540245566	1.534788540245566	0.34106412005457026	1.534788540245566	0.5115961800818554	0.34106412005457026	1.364256480218281	0.6821282401091405	0.17053206002728513	1.0231923601637107	0.6821282401091405	0.6821282401091405	0.5115961800818554	0.8526603001364257	1.1937244201909958	1.534788540245566	0.17053206002728513	0.6821282401091405	0.0	0.17053206002728513	1.8758526603001364	0.34106412005457026	0.34106412005457026	1.1937244201909958	0.8526603001364257	0.5115961800818554	40.47340736411456	1.6072472238457043	1.1689070718877848	55.23085914669783	1.3150204558737582	7.8901227352425485	0.0	1.0227936879018118	15.780245470485097	10.666277030976039	8.036236119228521	0.0	0.0	i to was had be which there is have [ when s one ] footnote	NN IN DT VBD JJ PRP RB VB CC VBN NNS PRP$ TO MD VBP	i-had of-the [-footnote in-the ]-[ it-was to-the that-i that-the i-was that-he to-be he-had there-was i-could	]-[-footnote there-was-no that-he-had out-of-the in-small-caps which-i-had in-front-of in-my-own that-it-was with-the-caption that-i-had that-i-could my-hand-upon told-me-that me-that-the
aurthur_conan_doyle.the_adventures_of_sherlock_holmes.0000	0.290128	5470.000000	1587.000000	280.000000	167.000000	4.219378	5.072954	23.485714	39.874251	51.91956124314442	6.581352833638025	26.142595978062158	32.17550274223035	30.16453382084095	27.97074954296161	17.550274223034734	11.70018281535649	6.946983546617917	30.53016453382084	15.539305301645339	4.936014625228519	6.39853747714808	3.839122486288848	7.861060329067643	13.711151736745887	6.581352833638025	13.893967093235833	3.656307129798903	6.946983546617917	4.204753199268739	5.301645338208409	14.990859232175504	3.4734917733089583	4.936014625228519	1.4625228519195612	2.010968921389397	0.9140767824497258	2.9250457038391224	5.301645338208409	2.9250457038391224	2.742230347349177	2.376599634369287	9.506398537477148	3.656307129798903	3.2906764168190126	2.010968921389397	4.570383912248629	0.9140767824497258	3.4734917733089583	3.1078610603290677	3.839122486288848	2.5594149908592323	3.1078610603290677	0.9140767824497258	3.4734917733089583	0.0	7.129798903107861	0.5484460694698354	4.570383912248629	2.010968921389397	0.7312614259597806	0.9140767824497258	0.7312614259597806	0.7312614259597806	1.8281535648994516	1.4625228519195612	2.376599634369287	1.8281535648994516	0.7312614259597806	0.18281535648994515	2.742230347349177	0.18281535648994515	4.204753199268739	1.4625228519195612	2.010968921389397	2.742230347349177	1.0968921389396709	1.8281535648994516	1.6453382084095063	0.9140767824497258	3.839122486288848	1.2797074954296161	0.5484460694698354	1.2797074954296161	1.2797074954296161	0.3656307129798903	1.0968921389396709	1.0968921389396709	0.18281535648994515	0.7312614259597806	0.3656307129798903	0.18281535648994515	1.4625228519195612	2.1937842778793417	1.4625228519195612	0.9140767824497258	0.3656307129798903	1.0968921389396709	0.5484460694698354	0.3656307129798903	0.3656307129798903	0.3656307129798903	0.3656307129798903	0.5484460694698354	0.7312614259597806	0.5484460694698354	0.5484460694698354	1.6453382084095063	0.9140767824497258	40.298053527980535	6.234793187347932	2.737226277372263	58.09002433090024	1.0644768856447688	0.30413625304136255	0.0	0.0	27.06812652068127	25.395377128953772	6.995133819951338	0.0	0.0	i to was is which have be not had there said holmes then one do	NN IN DT JJ PRP VBD RB VB CC NNS PRP$ TO VBN VBP VBZ	of-the in-the i-was with-a of-his it-was it-is i-have to-the i-am and-a to-be he-was on-the at-the	the-adventure-of adventure-of-the up-to-the the-man-who that-you-have what-do-you whether-i-should of-his-own which-had-been i-know-that good-enough-to eight-o-clock one-of-the it-is-a out-of-the
aurthur_conan_doyle.the_adventures_of_sherlock_holmes.0001	0.256817	5868.000000	1507.000000	271.000000	161.000000	4.110089	4.884980	25.833948	44.000000	51.124744376278116	5.282890252215406	27.94819359236537	23.17655078391275	27.94819359236537	24.880708929788685	17.041581458759374	15.167007498295842	8.691206543967281	28.629856850715747	17.382413087934562	7.668711656441718	8.009543285616907	2.8970688479890936	8.861622358554875	13.6332651670075	9.713701431492844	14.485344239945467	2.044989775051125	5.96455351056578	3.408316291751875	7.668711656441718	9.713701431492844	3.749147920927062	4.601226993865031	1.7041581458759374	5.453306066802999	0.5112474437627812	5.112474437627812	7.157464212678937	1.5337423312883436	4.430811179277438	4.430811179277438	8.861622358554875	2.3858214042263124	3.5787321063394684	3.2379004771642808	3.919563735514656	0.8520790729379687	3.749147920927062	3.2379004771642808	3.067484662576687	2.8970688479890936	2.7266530334014996	1.5337423312883436	3.2379004771642808	0.6816632583503749	4.601226993865031	0.5112474437627812	5.96455351056578	4.942058623040219	1.0224948875255624	1.874573960463531	0.6816632583503749	1.0224948875255624	1.5337423312883436	2.215405589638719	2.7266530334014996	2.556237218813906	0.5112474437627812	0.5112474437627812	3.749147920927062	0.34083162917518744	6.134969325153374	1.3633265167007498	1.5337423312883436	2.556237218813906	0.6816632583503749	1.874573960463531	1.0224948875255624	1.874573960463531	3.067484662576687	2.7266530334014996	0.6816632583503749	0.6816632583503749	1.3633265167007498	0.6816632583503749	1.0224948875255624	1.1929107021131562	0.5112474437627812	0.8520790729379687	1.1929107021131562	0.8520790729379687	0.8520790729379687	2.215405589638719	1.1929107021131562	0.17041581458759372	0.5112474437627812	2.044989775051125	1.0224948875255624	1.0224948875255624	0.34083162917518744	0.0	0.5112474437627812	1.1929107021131562	0.0	0.5112474437627812	0.6816632583503749	1.3633265167007498	1.1929107021131562	36.99471504070847	6.1419797171832595	2.428224539351521	60.27710327096129	2.2853878017426084	0.7141836880445651	0.0	0.0	23.85373518068847	20.71132695329239	8.427367518925868	0.0	0.0	i to is was have not had holmes be when very which s there what	NN IN DT PRP JJ VBD RB VB CC NNS PRP$ TO VBN VBP VBZ	of-the in-the it-is i-have to-the i-am into-the at-the that-i with-a sherlock-holmes and-i for-the it-was the-king	mr.-sherlock-holmes one-of-the into-the-room cry-of-fire it-was-a that-i-have of-briony-lodge she-does-not to-me-i the-room-and it-is-a and-i-have i-have-not mr.-jabez-wilson i-have-heard
aurthur_conan_doyle.the_adventures_of_sherlock_holmes.0002	0.248507	6197.000000	1540.000000	274.000000	150.000000	4.133129	4.946538	26.919708	49.660000	52.28336291754074	6.616104566725835	23.8825238018396	23.8825238018396	31.46683879296434	25.98031305470389	16.620945618847827	15.975472002581894	9.35936743585606	27.593997095368724	14.361787961917058	8.875262223656607	6.293367758592868	4.67968371792803	7.745683395191222	15.81410359851541	8.875262223656607	14.845893174116508	3.065999677263192	7.745683395191222	4.518315313861546	5.002420526060997	10.811683072454413	2.5818944650637405	4.034210101662095	2.259157656930773	8.391157011457157	1.2909472325318703	0.0	0.0	2.7432628691302243	4.356946909795062	3.3887364853961595	7.584314991124738	3.5501048894626432	3.711473293529127	3.3887364853961595	4.034210101662095	0.8068420203324189	5.163788930127481	3.5501048894626432	2.904631273196708	3.2273680813296757	1.7750524447313216	1.9364208487978054	1.7750524447313216	0.48410521219945135	5.9706309504599	0.6454736162659351	5.9706309504599	2.259157656930773	0.48410521219945135	1.6136840406648378	0.8068420203324189	2.4205260609972568	2.904631273196708	1.2909472325318703	3.872841697595611	0.9682104243989027	0.9682104243989027	0.0	1.2909472325318703	0.0	3.872841697595611	1.2909472325318703	2.259157656930773	2.4205260609972568	1.7750524447313216	2.259157656930773	1.452315636598354	1.7750524447313216	4.195578505728578	0.9682104243989027	0.8068420203324189	1.6136840406648378	1.9364208487978054	0.6454736162659351	1.9364208487978054	0.8068420203324189	0.6454736162659351	0.8068420203324189	1.7750524447313216	0.16136840406648378	1.9364208487978054	0.6454736162659351	3.065999677263192	1.1295788284653865	1.6136840406648378	2.4205260609972568	1.1295788284653865	0.0	0.8068420203324189	0.6454736162659351	0.16136840406648378	1.1295788284653865	0.32273680813296757	0.32273680813296757	1.1295788284653865	1.1295788284653865	2.4205260609972568	35.113882863340564	5.829718004338394	1.898047722342733	61.68655097613883	1.3557483731019522	0.13557483731019523	0.0	0.0	23.454446854663775	18.43817787418655	11.93058568329718	0.0	0.0	i to was is have had be holmes not ‘ said which mr. what s	NN IN DT JJ PRP VBD RB VB CC NNS PRP$ TO VBP VBN MD	of-the in-the and-i to-the it-was it-is upon-the i-have that-i was-a and-the i-had you-have at-the of-a	one-of-the out-of-the it-was-a mr.-duncan-ross it-would-be said-he-‘ said-i-‘ of-the-red-headed mr.-jabez-wilson that-i-had it-is-a ‘-and-the what-do-you in-the-morning on-to-the
